Campaign Number,Name,Start Date-TBD,Start Date,End Date-TBD,End Date,CampaignDuration,Channel,Client,Address,Email,Phone,Contact,Audience,Audience-Age,Demographic,Location,Views,Likes,Clicks,Conversions,Expense,Executive
19,Campaign 19,2023-12-04 0:00:00,2023-12-04,2023-12-26 0:00:00,2023-12-26,22,TikTok,"Russell, Wilson and Rogers","27907 Deborah Hill Suite 235, Abigailbury, CO 58408",michael78@yahoo.com,(995)213-6315,Michael Howard,Teens 13-19,13-19,Teens<20,LATAM,18166,2849,4847,354,27654.57,Thomas Ryan
20,Campaign 20,2023-11-11 0:00:00,2023-11-11,2023-11-16 0:00:00,2023-11-16,5,Email,Schneider PLC,"872 Davila Ville Apt. 985, Millerland, GA 42888",beasleycraig@yahoo.com,143.069.3791,Stephen Murphy,Male 20-39,20-39,Young-Adults<40,Australia,27973,9607,2657,890,10983.11,Lauren Riggs
21,Campaign 21,2023-12-27 0:00:00,2023-12-27,2024-01-11 0:00:00,2024-01-11,15,Email,Smith-Bailey,"055 Rebecca Ramp, Edwardsland, WY 72139-7625",bakerpaul@holland.com,054-495-6142x7992,Sharon Reeves,Male 40-60,40-60,Middle-Aged Adults<60,USA,22897,6256,2286,531,43219.64,Michael Camacho
22,Campaign 22,2023-10-01 0:00:00,2023-10-01,2023-10-28 0:00:00,2023-10-28,27,Facebook,Jackson Inc,"96299 Miller Spur, Jensenfurt, CA 97794-3156",jeremy09@yahoo.com,557-670-7467x238,Karen Rivers,Male 20-39,20-39,Young-Adults<40,Europe,62876,4035,3722,260,30201.78,Thomas Ryan
23,Campaign 23,2023-06-19 0:00:00,2023-06-19,2023-06-24 0:00:00,2023-06-24,5,Facebook,"Hunt, Woods and Saunders","48531 Garcia Walk, Gonzalesville, WY 31844",rramsey@warren.com,1-628-025-3550x66010,April Brewer,Teens 13-19,13-19,Teens<20,Japan,26583,9185,1413,581,49463.69,Melissa Haynes
24,Campaign 24,2023-07-06 0:00:00,2023-07-06,2023-07-20 0:00:00,2023-07-20,14,Instagram,Walter Ltd,"591 Gallegos Shore, East Jennifer, VT 67675",gravessusan@gonzalez.com,4034303913,Sarah Warren,Male 20-39,20-39,Young-Adults<40,Canada,1215,1832,3794,425,2983.58,Aaron Faulkner
25,Campaign 25,2023-07-15 0:00:00,2023-07-15,2023-08-13 0:00:00,2023-08-13,29,YouTube,Lopez PLC,"0806 Watson Drive Suite 662, Port Andrea, DE 42578-2286",zmcintyre@bauer.info,3724028579,Barbara Walker,Female 40-60,40-60,Middle-Aged Adults<60,Australia,79276,2404,3408,208,12205.58,Lauren Riggs
26,Campaign 26,2023-08-06 0:00:00,2023-08-06,2023-08-09 0:00:00,2023-08-09,3,TikTok,Riley PLC,"699 Anderson Glen, Parkerside, AZ 15616-1374",jennifer09@york.org,653.689.1510,Gary Reed,Male 20-39,20-39,Young-Adults<40,LATAM,63453,3788,2515,492,29386.34,Kyle Serrano
27,Campaign 27,2023-09-27 0:00:00,2023-09-27,2023-10-02 0:00:00,2023-10-02,5,TikTok,Roberts-Brown,"725 Peter Lights Apt. 639, South Janet, WV 83873-6339",nguyendustin@gmail.com,(625)918-8416x213,Samantha Hudson,Male 40-60,40-60,Middle-Aged Adults<60,Japan,52218,3238,2450,997,41018.12,Thomas Ryan
28,Campaign 28,2023-11-30 0:00:00,2023-11-30,2023-12-07 0:00:00,2023-12-07,7,YouTube,Nunez-Bowers,"6821 Walker Via Suite 228, Lake Jessica, NE 05036-1909",michelle44@yahoo.com,(186)438-4897,James Woods,Female 60+,60+,Seniors>60,LATAM,42299,9326,2552,763,29155.51,Wesley Simon
29,Campaign 29,2023-02-20 0:00:00,2023-02-20,2023-03-01 0:00:00,2023-03-01,9,Facebook,Ross Group,"2397 Allison Knolls Suite 213, Jacksonside, WV 58803-3895",kristopher99@romero.org,1-844-245-2487x0945,Lauren Graham,Adults 40-60,40-60,Middle-Aged Adults<60,India,32351,3417,3381,443,25073.88,Brandon Townsend Jr.
30,Campaign 30,2023-08-12 0:00:00,2023-08-12,2023-09-08 0:00:00,2023-09-08,27,Email,"Morris, Johnson and Anderson","065 John Street, West Adamchester, NV 72944-3914",johnsondonald@meyer.com,322.618.9253x9220,Sandy Mathis,Male 20-39,20-39,Young-Adults<40,Australia,11800,1677,729,958,23784.67,Kyle Serrano
31,Campaign 31,2023-02-18 0:00:00,2023-02-18,2023-03-06 0:00:00,2023-03-06,16,TikTok,Lyons PLC,"20804 Burgess Trace, Petersenburgh, WV 31082",nicholastaylor@yahoo.com,(496)403-6865,Sharon Crawford,Male 40-60,40-60,Middle-Aged Adults<60,India,54734,814,2089,167,1491.41,Lauren Riggs
32,Campaign 32,2023-09-08 0:00:00,2023-09-08,2023-09-22 0:00:00,2023-09-22,14,Facebook,Fisher Group,"880 Watson Ramp Suite 059, Reynoldsfurt, GU 10725",brian57@hotmail.com,1-185-168-7120,Jeremy Baker,Female 40-60,40-60,Middle-Aged Adults<60,Europe,2208,2309,2423,926,40680.13,Melissa Haynes
33,Campaign 33,2023-12-07 0:00:00,2023-12-07,2023-12-23 0:00:00,2023-12-23,16,YouTube,Gray Ltd,"Unit 4555 Box 7398, DPO AE 23911-7290",owenmelinda@yahoo.com,1728597837,Mark Long,Adults 40-60,40-60,Middle-Aged Adults<60,Japan,81576,10000,2916,112,10125.54,Jesus Rivera
34,Campaign 34,2023-06-21 0:00:00,2023-06-21,2023-07-19 0:00:00,2023-07-19,28,YouTube,Jackson Inc,"96299 Miller Spur, Jensenfurt, CA 97794-3156",jeremy09@yahoo.com,557-670-7467x238,Karen Rivers,Female 20-39,20-39,Young-Adults<40,UK,76659,5247,2547,46,33116.41,Thomas Ryan
35,Campaign 35,2023-05-06 0:00:00,2023-05-06,2023-05-30 0:00:00,2023-05-30,24,Email,"Holmes, Johnson and Rodriguez","USCGC Erickson, FPO AE 00735-4383",polsen@alexander-smith.net,1-479-099-8390x29817,Anne Foley,Seniors 60+,60+,Seniors>60,UK,94539,5735,2844,560,16141.11,Wesley Simon
36,Campaign 36,2023-10-19 0:00:00,2023-10-19,2023-11-10 0:00:00,2023-11-10,22,Email,"Bradley, Jackson and Miller","190 Bradley Mill Suite 940, Craigbury, MO 18832",hansonpatrick@hunt.com,+35(5)1561435486,Dr. David Glass Jr.,Seniors 60+,60+,Seniors>60,Australia,70092,3449,4199,196,29557.22,Melissa Haynes
37,Campaign 37,2023-01-31 0:00:00,2023-01-31,2023-02-14 0:00:00,2023-02-14,14,YouTube,Roberts-Brown,"725 Peter Lights Apt. 639, South Janet, WV 83873-6339",nguyendustin@gmail.com,(625)918-8416x213,Samantha Hudson,Seniors 60+,60+,Seniors>60,UK,54376,1027,2371,155,23431.5,Thomas Ryan
38,Campaign 38,2023-07-08 0:00:00,2023-07-08,2023-07-29 0:00:00,2023-07-29,21,Instagram,Valentine-Dunn,"723 Julia Burg, Bartonhaven, VT 86914",gharrington@yahoo.com,5835472748,Nathan May,Male 40-60,40-60,Middle-Aged Adults<60,Australia,53401,7986,2766,339,8152.59,Melissa Haynes
39,Campaign 39,2023-12-22 0:00:00,2023-12-22,2024-01-16 0:00:00,2024-01-16,25,TikTok,"Bush, Mendez and Smith","791 Darryl Squares Suite 934, Holdenport, OH 41129-2197",churchtimothy@yahoo.com,+32(5)3375294169,Patrick Williams,Teens 13-19,13-19,Teens<20,Europe,4701,6450,4786,837,27780.55,Brandon Townsend Jr.
40,Campaign 40,2023-07-17 0:00:00,2023-07-17,2023-07-26 0:00:00,2023-07-26,9,Instagram,Lewis PLC,"621 Woodard Manors Apt. 208, Port Amy, ME 05157-2612",beth20@gmail.com,(382)505-1266,Diana Love,Seniors 60+,60+,Seniors>60,UK,59513,3950,4168,166,39300.07,Thomas Ryan
41,Campaign 41,2023-05-13 0:00:00,2023-05-13,2023-05-21 0:00:00,2023-05-21,8,Instagram,Mcbride-Finley,"438 Brent Roads Apt. 855, Tylerburgh, NY 69473",mcclainhannah@jensen-gilbert.com,(856)414-5259x269,Michael Freeman,Adults 20-39,20-39,Young-Adults<40,India,8417,1807,3944,303,16209.56,Jesus Rivera
42,Campaign 42,2023-09-07 0:00:00,2023-09-07,2023-09-17 0:00:00,2023-09-17,10,TikTok,Valentine-Dunn,"723 Julia Burg, Bartonhaven, VT 86914",gharrington@yahoo.com,5835472748,Nathan May,Male 20-39,20-39,Young-Adults<40,Europe,72788,824,2735,769,41623.56,Melissa Haynes
43,Campaign 43,2023-02-18 0:00:00,2023-02-18,2023-03-14 0:00:00,2023-03-14,24,Facebook,"Reed, Galloway and Buck","49317 Vincent Vista Suite 462, Port Nathan, CA 23364-0905",larrygraham@lucas.com,(669)708-2006,Andrea Simmons,Teens 13-19,13-19,Teens<20,USA,88433,5585,3668,716,46147.61,Wesley Simon
44,Campaign 44,2023-01-17 0:00:00,2023-01-17,2023-01-25 0:00:00,2023-01-25,8,YouTube,Reyes-Rios,"49937 Christopher Unions, Gutierrezmouth, MI 13751-5785",cunninghamjerry@gmail.com,1-463-956-5944x00079,Eric Davis,Seniors 60+,60+,Seniors>60,UK,96854,3287,1400,252,11001.04,Wesley Simon
45,Campaign 45,2023-11-30 0:00:00,2023-11-30,2023-12-23 0:00:00,2023-12-23,23,Email,Valentine-Dunn,"723 Julia Burg, Bartonhaven, VT 86914",gharrington@yahoo.com,5835472748,Nathan May,Female 60+,60+,Seniors>60,Europe,4142,2029,2881,171,48920.63,Melissa Haynes
46,Campaign 46,2023-12-28 0:00:00,2023-12-28,2024-01-08 0:00:00,2024-01-08,11,YouTube,Thomas-Proctor,"820 Butler Streets Suite 875, North Denisehaven, WV 66736-0964",brownmario@leonard.com,371.890.0231,Angela Moore,Male 40-60,40-60,Middle-Aged Adults<60,Japan,62604,3274,351,278,23547.35,Wesley Simon
47,Campaign 47,2023-07-25 0:00:00,2023-07-25,2023-07-29 0:00:00,2023-07-29,4,TikTok,"James, Phelps and Burgess","026 Good Ports Apt. 881, Port Adam, KY 82799-9255",edurham@hotmail.com,+83(2)9634717985,Vanessa Miranda,Male 20-39,20-39,Young-Adults<40,Japan,43095,4273,3873,789,34899.92,Lauren Riggs
48,Campaign 48,2023-11-12 0:00:00,2023-11-12,2023-12-12 0:00:00,2023-12-12,30,Email,"Fox, Carter and Cunningham","99919 Michelle Green Apt. 424, West Hannah, KY 63482-6699",bradymcclain@hotmail.com,1172175730,Andre Manning,Teens 13-19,13-19,Teens<20,Japan,2141,5809,762,866,26462.54,Brandon Townsend Jr.
49,Campaign 49,2023-08-20 0:00:00,2023-08-20,2023-08-29 0:00:00,2023-08-29,9,TikTok,Ross Group,"2397 Allison Knolls Suite 213, Jacksonside, WV 58803-3895",kristopher99@romero.org,1-844-245-2487x0945,Lauren Graham,Female 20-39,20-39,Young-Adults<40,Japan,31796,1899,3771,687,36807.52,Brandon Townsend Jr.
50,Campaign 50,2023-03-10 0:00:00,2023-03-10,2023-04-06 0:00:00,2023-04-06,27,Instagram,Anderson Inc,"Unit 0015 Box 7678, DPO AE 55030-2816",jgomez@gmail.com,358.421.6618x006,Morgan Gross,Female 20-39,20-39,Young-Adults<40,Australia,72501,6711,4852,168,13841.04,Thomas Ryan
51,Campaign 51,2023-05-06 0:00:00,2023-05-06,2023-05-29 0:00:00,2023-05-29,23,TikTok,Lopez PLC,"0806 Watson Drive Suite 662, Port Andrea, DE 42578-2286",zmcintyre@bauer.info,3724028579,Barbara Walker,Adults 40-60,40-60,Middle-Aged Adults<60,Australia,55454,5056,591,851,30465.57,Lauren Riggs
52,Campaign 52,2023-03-21 0:00:00,2023-03-21,2023-04-15 0:00:00,2023-04-15,25,YouTube,Jones LLC,"89103 Jennings Cape Suite 740, South Dianafort, FL 68504",norrisjames@pearson-burton.biz,(363)957-0616x7906,Danielle Hernandez,Seniors 60+,60+,Seniors>60,India,51625,4100,4176,56,4048.33,Aaron Faulkner
53,Campaign 53,2023-09-28 0:00:00,2023-09-28,2023-10-03 0:00:00,2023-10-03,5,YouTube,"Parker, Velasquez and Dixon","33302 Fuller Lakes, West Christopher, MH 17095",hutchinsonmary@gmail.com,+47(0)4867194830,Brian George,Female 20-39,20-39,Young-Adults<40,Australia,4132,292,1920,99,38057.7,Aaron Faulkner
54,Campaign 54,2023-11-07 0:00:00,2023-11-07,2023-12-01 0:00:00,2023-12-01,24,YouTube,"Miller, Bryant and Burnett","1044 Kennedy Prairie Apt. 186, Jamiemouth, NE 12690-6573",bjohnson@martin-williams.com,958-840-3830,Christopher Clark,Seniors 60+,60+,Seniors>60,Europe,3140,8259,3955,43,33356,Aaron Faulkner
55,Campaign 55,2023-02-28 0:00:00,2023-02-28,2023-03-10 0:00:00,2023-03-10,10,YouTube,Drake-Vasquez,"8980 Cox Park, South Robert, NV 66099-6728",tylersheila@hicks.com,123-800-5701,Teresa Doyle,Male 40-60,40-60,Middle-Aged Adults<60,USA,43047,9683,1704,167,49537.77,Michael Camacho
56,Campaign 56,2023-03-12 0:00:00,2023-03-12,2023-03-19 0:00:00,2023-03-19,7,YouTube,Drake-Vasquez,"8980 Cox Park, South Robert, NV 66099-6728",tylersheila@hicks.com,123-800-5701,Teresa Doyle,Female 20-39,20-39,Young-Adults<40,LATAM,63864,9076,3256,942,28751.79,Michael Camacho
57,Campaign 57,2023-12-10 0:00:00,2023-12-10,2023-12-30 0:00:00,2023-12-30,20,Email,Fisher Group,"880 Watson Ramp Suite 059, Reynoldsfurt, GU 10725",brian57@hotmail.com,1-185-168-7120,Jeremy Baker,Male 60+,60+,Seniors>60,USA,63349,6903,2981,990,20800.78,Melissa Haynes
58,Campaign 58,2023-06-15 0:00:00,2023-06-15,2023-07-01 0:00:00,2023-07-01,16,Email,Cooper-Alexander,"01438 Kristin Fords Apt. 626, Port Paula, WA 20979-6415",gchavez@yang.com,(284)401-5003,Alexandria Hansen,Teens 13-19,13-19,Teens<20,LATAM,52140,5603,4671,376,16773.75,Thomas Ryan
59,Campaign 59,2023-12-13 0:00:00,2023-12-13,2023-12-23 0:00:00,2023-12-23,10,Instagram,Herrera-Cook,"0613 David Haven Apt. 354, North Samantha, MI 10699-1384",ijordan@gmail.com,(880)891-9091,Madison York,Seniors 60+,60+,Seniors>60,LATAM,80160,4125,3975,598,29949.79,Wesley Simon
60,Campaign 60,2023-07-07 0:00:00,2023-07-07,2023-07-20 0:00:00,2023-07-20,13,TikTok,Wade PLC,"3571 Harvey Centers, Ronaldfurt, NY 35589-6805",nhall@hotmail.com,(330)526-4186x670,Lacey Crane,Male 60+,60+,Seniors>60,UK,19067,1410,4989,801,25569.26,Lauren Riggs
61,Campaign 61,2023-05-02 0:00:00,2023-05-02,2023-05-26 0:00:00,2023-05-26,24,YouTube,Cunningham-Little,"Unit 5043 Box 8770, DPO AP 84852",christopher51@watson.net,1-113-299-8248x6225,Stephanie Fernandez,Female 40-60,40-60,Middle-Aged Adults<60,India,28540,6055,2625,799,20281.14,Becky Brown
62,Campaign 62,2023-06-04 0:00:00,2023-06-04,2023-06-23 0:00:00,2023-06-23,19,YouTube,"Reed, Galloway and Buck","49317 Vincent Vista Suite 462, Port Nathan, CA 23364-0905",larrygraham@lucas.com,(669)708-2006,Andrea Simmons,Female 40-60,40-60,Middle-Aged Adults<60,UK,91014,4060,4716,676,18712.37,Wesley Simon
63,Campaign 63,2023-05-21 0:00:00,2023-05-21,2023-05-25 0:00:00,2023-05-25,4,Facebook,Herrera-Cook,"0613 David Haven Apt. 354, North Samantha, MI 10699-1384",ijordan@gmail.com,(880)891-9091,Madison York,Male 20-39,20-39,Young-Adults<40,Europe,33476,7005,2186,658,4880.75,Wesley Simon
64,Campaign 64,2023-11-14 0:00:00,2023-11-14,2023-11-22 0:00:00,2023-11-22,8,Instagram,Edwards LLC,"123 Amanda Summit, Lake Marietown, IL 81773-5493",tinamckay@sharp-smith.com,(506)912-2179x80069,Matthew Davis,Female 60+,60+,Seniors>60,Japan,57664,2355,3422,337,49745.62,Melissa Haynes
65,Campaign 65,2023-09-16 0:00:00,2023-09-16,2023-10-15 0:00:00,2023-10-15,29,Email,Mcbride-Finley,"438 Brent Roads Apt. 855, Tylerburgh, NY 69473",mcclainhannah@jensen-gilbert.com,(856)414-5259x269,Michael Freeman,Teens 13-19,13-19,Teens<20,Australia,97778,7583,268,845,46026.43,Jesus Rivera
66,Campaign 66,2023-01-25 0:00:00,2023-01-25,2023-02-17 0:00:00,2023-02-17,23,Facebook,Valentine-Dunn,"723 Julia Burg, Bartonhaven, VT 86914",gharrington@yahoo.com,5835472748,Nathan May,Female 60+,60+,Seniors>60,UK,18061,4533,1310,223,2925.88,Melissa Haynes
67,Campaign 67,2023-01-07 0:00:00,2023-01-07,2023-01-20 0:00:00,2023-01-20,13,Facebook,"Reed, Galloway and Buck","49317 Vincent Vista Suite 462, Port Nathan, CA 23364-0905",larrygraham@lucas.com,(669)708-2006,Andrea Simmons,Male 20-39,20-39,Young-Adults<40,Europe,45756,9994,2551,867,13427.22,Wesley Simon
68,Campaign 68,2023-07-24 0:00:00,2023-07-24,2023-07-30 0:00:00,2023-07-30,6,Instagram,Jones LLC,"89103 Jennings Cape Suite 740, South Dianafort, FL 68504",norrisjames@pearson-burton.biz,(363)957-0616x7906,Danielle Hernandez,Male 20-39,20-39,Young-Adults<40,Canada,55022,9822,2702,267,709.58,Aaron Faulkner
69,Campaign 69,2023-06-01 0:00:00,2023-06-01,2023-06-10 0:00:00,2023-06-10,9,Email,Bernard and Sons,"8622 Ricky Knoll, New Jenniferville, GA 79764-9207",johnsonrobert@white.com,+61(8)2418484012,Julia Moore,Adults 20-39,20-39,Young-Adults<40,India,53075,8233,1358,456,31296.65,Thomas Ryan
70,Campaign 70,2023-06-05 0:00:00,2023-06-05,2023-06-25 0:00:00,2023-06-25,20,Facebook,White Ltd,"172 Angela Crescent Apt. 306, North Laura, HI 69094-7497",jeremy56@gmail.com,(320)185-3187x395,Nathan Weber,Male 40-60,40-60,Middle-Aged Adults<60,LATAM,93754,7829,1630,828,19748.38,Jesus Rivera
71,Campaign 71,2023-04-08 0:00:00,2023-04-08,2023-04-29 0:00:00,2023-04-29,21,Facebook,Melton-Smith,"03793 Jacobs Branch, West Max, MA 54633-3659",mercertimothy@huff.com,(729)575-8232,Patrick Abbott,Male 20-39,20-39,Young-Adults<40,Australia,42436,2470,3712,217,20766.96,Lauren Riggs
72,Campaign 72,2023-12-01 0:00:00,2023-12-01,2023-12-30 0:00:00,2023-12-30,29,TikTok,"Fox, Carter and Cunningham","99919 Michelle Green Apt. 424, West Hannah, KY 63482-6699",bradymcclain@hotmail.com,1172175730,Andre Manning,Male 40-60,40-60,Middle-Aged Adults<60,Australia,30996,2704,2940,84,25009.46,Brandon Townsend Jr.
73,Campaign 73,2023-10-01 0:00:00,2023-10-01,2023-10-30 0:00:00,2023-10-30,29,YouTube,Edwards LLC,"123 Amanda Summit, Lake Marietown, IL 81773-5493",tinamckay@sharp-smith.com,(506)912-2179x80069,Matthew Davis,Male 60+,60+,Seniors>60,Europe,49630,8858,3114,550,7778.44,Melissa Haynes
74,Campaign 74,2023-10-26 0:00:00,2023-10-26,2023-11-16 0:00:00,2023-11-16,21,YouTube,"Holloway, Cox and Ford","7800 Dorsey Tunnel Suite 734, West Tracy, UT 56027",joseph49@hodges-campbell.com,011-835-8647x901,Dennis Carr,Adults 20-39,20-39,Young-Adults<40,India,46763,3399,1689,982,49960.87,Brandon Townsend Jr.
75,Campaign 75,2023-12-22 0:00:00,2023-12-22,2023-12-29 0:00:00,2023-12-29,7,YouTube,Wade PLC,"3571 Harvey Centers, Ronaldfurt, NY 35589-6805",nhall@hotmail.com,(330)526-4186x670,Lacey Crane,Female 60+,60+,Seniors>60,LATAM,96168,7961,2812,216,46137.32,Lauren Riggs
76,Campaign 76,2023-05-17 0:00:00,2023-05-17,2023-05-21 0:00:00,2023-05-21,4,YouTube,"Parker, Velasquez and Dixon","33302 Fuller Lakes, West Christopher, MH 17095",hutchinsonmary@gmail.com,+47(0)4867194830,Brian George,Female 20-39,20-39,Young-Adults<40,USA,30561,5605,3619,949,39465.52,Aaron Faulkner
77,Campaign 77,2023-06-12 0:00:00,2023-06-12,2023-06-17 0:00:00,2023-06-17,5,Instagram,Edwards LLC,"123 Amanda Summit, Lake Marietown, IL 81773-5493",tinamckay@sharp-smith.com,(506)912-2179x80069,Matthew Davis,Male 40-60,40-60,Middle-Aged Adults<60,Australia,50339,1131,4928,410,39922.28,Melissa Haynes
78,Campaign 78,2023-06-13 0:00:00,2023-06-13,2023-07-06 0:00:00,2023-07-06,23,Facebook,"Morris, Johnson and Anderson","065 John Street, West Adamchester, NV 72944-3914",johnsondonald@meyer.com,322.618.9253x9220,Sandy Mathis,Adults 20-39,20-39,Young-Adults<40,LATAM,92679,4501,495,612,24834.69,Kyle Serrano
79,Campaign 79,2023-09-30 0:00:00,2023-09-30,2023-10-15 0:00:00,2023-10-15,15,TikTok,"Green, Lloyd and Ball","30284 Villarreal Passage Apt. 698, Brownshire, NV 89609-0041",wrightlucas@yahoo.com,562-293-0799x4586,Shelly Stafford,Male 40-60,40-60,Middle-Aged Adults<60,Canada,94198,4398,2283,457,17012.4,Jesus Rivera
